Company_Name,Category,M_Name,URL
aichampdanyindustries,miscellaneous,AI Champdany,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/aichampdanyindustries/AIC02
aiaengineering,castingsforgings,AIA Engineering,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
ambassadorintraholdings,miscellaneous,AIH,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/ambassadorintraholdings/AIHL54252
aikyamintellectualpropertyconsultancy,packaging,Aikyam Intellec,http://www.moneycontrol.com/india/stockpricequote/packaging/aikyamintellectualpropertyconsultancy/MPU
aimcopesticides,pesticidesagrochemicals,Aimco Pesticide,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/aimcopesticides/AP03
aircommandindia,consumergoodswhitegoods,Air Command,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/aircommandindia/ACI02
aircommandtechnologies,consumergoodswhitegoods,Air Command Tec,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/aircommandtechnologies/ACT
airan,computershardware,Airan,http://www.moneycontrol.com/india/stockpricequote/computershardware/airan/A09
airolam,miscellaneous,Airo Lam,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/airolam/AL08
aishwaryatelecom,telecommunicationsequipment,Aishwarya Tele,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/aishwaryatelecom/AT15
ajbrothers,aluminium,AJ Brothers,http://www.moneycontrol.com/india/stockpricequote/aluminium/ajbrothers/AJB
ajantapharma,pharmaceuticals,Ajanta Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
